Year,Subject,Question,Option1,Option2,Option3,Option4,Answer1,Answer2,Answer3,Answer4,Image Link(if any)
2013,Maths,"\begin{array}{l c c}{{\mathrm{~Let~complex~numbers~}\alpha\mathrm{~and~}\frac{1}{\Omega}\mathrm{~ile~on~circles~}(x-x_{0})^{2}+\mathrm{~}(y-y_{0})^{2}=r^{2}\mathrm{~and~}}}\\ {{\mathrm{~}(x-x_{0})^{2}+(y-y_{0})^{2}=4r^{2},\mathrm{~respectively.~if~}z_{0}=x_{0}+i\gamma_{0}\mathrm{~satisfies~the~equation}}}\\ {{\mathrm{~}2\,|z_{0}|^{2}=r^{2}+2,\mathrm{~then~}|\alpha|=}}\\ \end{array}",\frac{1}{\sqrt{2}},\frac{1}{2},\frac{1}{\sqrt{7}},\frac{1}{3},0,0,1,0,
2013,Maths,"\begin{array}{l }{{.}}&{{\mathrm{Four~persons~independently~solve~a~certain~problem~correctly~with~probabilities}}}\\ {{\,\frac{1}{2},\frac{3}{4},\frac{1}{4},\frac{1}{8}\,.\,\mathrm{Then~the~probability~that~the~problem~is~solved~correctly~by~at~least~one}}}\\ {{\,\,\,\mathrm{of~them~is~}}}\end{array}",\frac{235}{256},\frac{21}{256},\frac{3}{256},\frac{253}{256},1,0,0,0,
2013,Maths,"\begin{array}{l l}{{}}&{{\mathrm{,~Let~}f\!:\left[\frac{1}{2},1\right]\!\to\mathbb{R}\,{\mathrm{~(the~set~of~all~real~numbers)~be~a~positive,~non-constant~\and~}}}}\\ {{}}&{{\mathrm{differentiable~function~such~that~}f^{\prime}(x)<2~f(x){\mathrm{~and~}}f\!\left(\!\frac{1}{2}\!\right)\!=1\mathrm{~.~Then~the~value~of~}}}\\ {{}}&{{\displaystyle{\left\{\begin{array}{l l}{f(x)\,d x\,{\mathrm{~lies~in~the~interval~}}}\\ {\,}\end{array}\right.}}}\\ {{}}&{{}}\\ {{}}\end{array}","(2\,e-1,2e)","(e-1,2e-1)","\left(\frac{e-1}{2},e-1\right)","\left(0,\frac{e-1}{2}\right)",0,0,0,1,
2013,Maths,"\begin{array} \cdot {\mathrm{~The~number~of~points~in~}}(-\infty,\infty){\mathrm{,~for~which~}}x^{2}-x\sin x-\cos x=0{\mathrm{,~is~}} \end{array}",6,4,2,0,0,0,1,0,
2013,Maths,"\begin{array}{l} \mathrm{The~area~enclosed~by~the~curves~}y=\sin x+\cos x\mathrm{~and~}y=|\cos x-\sin x|\quad\mathrm{over~the~}\\ \mathrm{interval}\left[0,\frac{\pi}{2}\right]\mathrm{~is}\\ \end{array}",4(\sqrt{2}-1),2\sqrt{2}(\sqrt{2}-1),2(\sqrt{2}+1),2\sqrt{2}(\sqrt{2}+1),0,1,0,0,
2013,Maths,"\begin{array}{l l}\text{A curve passes through the point } \left(1, \frac{\pi}{6}\right). & \text{Let the slope of the curve at each point} \\& \text{ }(x, y)\text{ be }\frac{y}{x} + \sec\left(\frac{y}{x}\right), x > 0. \text{ Then the equation of the curve is} \\\end{array}",\sin\left(\frac{y}{x}\right) = \log(x) + \frac{1}{2},\cos\left(\frac{y}{x}\right) = \log(x) + 2,\sec\left(\frac{2y}{x}\right) = \log(x) + 2,\cos\left(\frac{2y}{x}\right) = \log(x) + \frac{1}{2},1,0,0,0,
2013,Maths,\begin{array} \text{Find } \cot\left(\sum_{n=1}^{23}\cot^{-1}\left(1+\sum_{k=1}^{n}2k\right)\right) \\ \end{array},\frac{23}{25},\frac{25}{23},\frac{23}{24},\frac{24}{23},0,1,0,0,
2013,Maths,"\begin{array}{l l}{{.}}&{{{\mathrm{For~}}a>b>c>0,{\mathrm{~the~distance~between~(1,~1)~and~the~point~of~intersection~of~the}}}}\\ {{}}&{{\mathrm{lines~}\ a x+b y+c=0\ \mathrm{~and~}\ b x+a y+c=0\ \mathrm{~is~less~than~2\sqrt{2}~.~Then}}}\\\end{array}",a+b-c>0,a-b+c<0,a-b+c>0,a+b-c<0,1,0,1,0,
2013,Maths,\begin{array}{l c}{{\mathrm{Perpendiculars~are~drawn~from~points~on~the~line~}\frac{x+2}{2}\!=\!\frac{y+1}{-1}\!=\!\frac{z}{3}}}&{{\mathrm{to~the~plane}}}\\ {{x+y+z=3.~\mathrm{The~feet~of~perpendicularars~lie~on~the~line}}}\\ \end{array},\frac{x}{5}\!-\!\frac{y-1}{8}\!=\!\frac{z-2}{-13}},\frac{x}{2}\!=\!\frac{y-1}{3}\!=\!\frac{z-2}{-5}},\frac{x}{4}\!=\!\frac{y-1}{3}\!=\!\frac{z-2}{-7},\frac{x}{2}\!=\!\frac{y-1}{-7}\!=\!\frac{z-2}{5}},0,0,0,1,
2013,Maths,"\begin{array}{l}{{\mathrm{.~Let~}{\vec{P R}}=3{\hat{\vec{i}}}+{\hat{\vec{j}}}-2{\hat{\vec{k}}}\,\,\,{\mathrm{and}}\,\,{\vec{S Q}}={\hat{\vec{i}}}-3{\hat{\vec{j}}}-4{\hat{\vec{k}}}\,\,\,{\mathrm{determan~diagnosis~of~a~parallelc o g r a m e l l e o g r a m}}}}\\ {{P Q R S~~~{\mathrm{and}}~~{\vec{P T}}={\hat{\vec{i}}}+2{\hat{\vec{j}}}+3{\hat{\vec{k}}}\,\,\,\,{\mathrm{be}}\,\,\,{\mathrm{another}}\,\,\,\,{\mathrm{vector.}}\,\,\,\,{\mathrm{Then~the~volume~of~the~vector~\,}}}}\\ {{{\mathrm{paralleleop i p e p i d ~d e t e m i n ed ~ by~the ~vectors~ {\vec{P T}}~{\vec{P Q}}~{\vec{P S}}~is }}}}\end{array}",20,10,30,5,0,0,1,0,
